The preprocessed data already exists, skip the preprocess stage!
  Test | Time 46 | precision:0.1429 | recall: 0.5000 | f1: 0.2222
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:0.6000 | recall: 0.0833 | f1: 0.1463
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 6 | class 1 | precision:0.4321 | recall: 0.2788 | f1: 0.3389
Train Epoch 7 | class 1 | precision:0.6346 | recall: 0.6962 | f1: 0.6640
Eval Epoch 7 | class 1 | precision:0.4626 | recall: 0.8023 | f1: 0.5868
###################Epoch 7 Test###################
  Test | Time 37 | precision:0.3333 | recall: 0.6750 | f1: 0.4463
  Test | Time 38 | precision:0.3865 | recall: 0.7207 | f1: 0.5031
  Test | Time 39 | precision:0.2403 | recall: 0.4568 | f1: 0.3149
  Test | Time 40 | precision:0.3130 | recall: 0.3661 | f1: 0.3374
  Test | Time 41 | precision:0.3091 | recall: 0.5862 | f1: 0.4048
  Test | Time 42 | precision:0.6055 | recall: 0.6485 | f1: 0.6263
  Test | Time 43 | precision:0.0233 | recall: 0.0833 | f1: 0.0364
  Test | Time 44 | precision:0.0089 | recall: 0.0833 | f1: 0.0161
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0357 | recall: 0.5000 | f1: 0.0667
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:0.3333 | recall: 0.1111 | f1: 0.1667
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 7 | class 1 | precision:0.2778 | recall: 0.4804 | f1: 0.3520
Train Epoch 8 | class 1 | precision:0.6413 | recall: 0.7419 | f1: 0.6880
Eval Epoch 8 | class 1 | precision:0.4034 | recall: 0.8395 | f1: 0.5450
Train Epoch 9 | class 1 | precision:0.6951 | recall: 0.7752 | f1: 0.7330
Eval Epoch 9 | class 1 | precision:0.5362 | recall: 0.7439 | f1: 0.6232
###################Epoch 9 Test###################
  Test | Time 37 | precision:0.4419 | recall: 0.4750 | f1: 0.4578
  Test | Time 38 | precision:0.6174 | recall: 0.6396 | f1: 0.6283
  Test | Time 39 | precision:0.2576 | recall: 0.4198 | f1: 0.3192
  Test | Time 40 | precision:0.4231 | recall: 0.2946 | f1: 0.3474
  Test | Time 41 | precision:0.4865 | recall: 0.4655 | f1: 0.4758
  Test | Time 42 | precision:0.7150 | recall: 0.6192 | f1: 0.6637
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0057 | recall: 0.0417 | f1: 0.0100
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0556 | recall: 0.5000 | f1: 0.1000
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:0.6667 | recall: 0.1111 | f1: 0.1905
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 9 | class 1 | precision:0.3747 | recall: 0.4205 | f1: 0.3963
Train Epoch 10 | class 1 | precision:0.7360 | recall: 0.7053 | f1: 0.7203
Eval Epoch 10 | class 1 | precision:0.6517 | recall: 0.5640 | f1: 0.6047
Train Epoch 11 | class 1 | precision:0.7303 | recall: 0.7261 | f1: 0.7282
Eval Epoch 11 | class 1 | precision:0.4229 | recall: 0.8574 | f1: 0.5664
Train Epoch 12 | class 1 | precision:0.7215 | recall: 0.7940 | f1: 0.7560
Eval Epoch 12 | class 1 | precision:0.4167 | recall: 0.8882 | f1: 0.5673
Train Epoch 13 | class 1 | precision:0.7444 | recall: 0.7527 | f1: 0.7485
Eval Epoch 13 | class 1 | precision:0.4451 | recall: 0.8541 | f1: 0.5852
Train Epoch 14 | class 1 | precision:0.7598 | recall: 0.7843 | f1: 0.7718
Eval Epoch 14 | class 1 | precision:0.4355 | recall: 0.8541 | f1: 0.5769
Train Epoch 15 | class 1 | precision:0.7759 | recall: 0.7981 | f1: 0.7868
Eval Epoch 15 | class 1 | precision:0.4857 | recall: 0.8250 | f1: 0.6114
Train Epoch 16 | class 1 | precision:0.8021 | recall: 0.7560 | f1: 0.7784
Eval Epoch 16 | class 1 | precision:0.4697 | recall: 0.8541 | f1: 0.6061
Train Epoch 17 | class 1 | precision:0.7613 | recall: 0.8101 | f1: 0.7850
Eval Epoch 17 | class 1 | precision:0.4179 | recall: 0.8833 | f1: 0.5674
Train Epoch 18 | class 1 | precision:0.8154 | recall: 0.7776 | f1: 0.7960
Eval Epoch 18 | class 1 | precision:0.4731 | recall: 0.8541 | f1: 0.6089
Train Epoch 19 | class 1 | precision:0.7691 | recall: 0.8182 | f1: 0.7929
Eval Epoch 19 | class 1 | precision:0.3884 | recall: 0.8914 | f1: 0.5411
Train Epoch 20 | class 1 | precision:0.8061 | recall: 0.7960 | f1: 0.8010
Eval Epoch 20 | class 1 | precision:0.4861 | recall: 0.8509 | f1: 0.6187
Train Epoch 21 | class 1 | precision:0.7949 | recall: 0.8061 | f1: 0.8005
Eval Epoch 21 | class 1 | precision:0.4346 | recall: 0.8784 | f1: 0.5815
Train Epoch 22 | class 1 | precision:0.8073 | recall: 0.8065 | f1: 0.8069
Eval Epoch 22 | class 1 | precision:0.4533 | recall: 0.8817 | f1: 0.5988
Train Epoch 23 | class 1 | precision:0.8283 | recall: 0.7812 | f1: 0.8041
Eval Epoch 23 | class 1 | precision:0.4904 | recall: 0.8687 | f1: 0.6269
###################Epoch 23 Test###################
